FilePath,Text,single_label,probabilities
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0020.ogg,もし……気が付かれましたか？お優しい御方……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0021.ogg,じーーーっ……,usual,"usual: 99.91%, aegi: 0.09%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0022.ogg,わあ、よかったですぅ……お目覚めですかぁ？,usual,"usual: 51.05%, aegi: 48.94%, chupa: 0.01%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0023.ogg,寝顔もとても素敵でしたけれど、やっぱり目を開けると、輝いていらっしゃる……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0024.ogg,一時はどうなることかと、ご心配いたしましたのよ。勇敢な御方……お召し物は濡れておりましたのであちらに干してございます,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0025.ogg,にこっ……,usual,"usual: 91.07%, aegi: 8.91%, chupa: 0.02%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0026.ogg,お初にお目にかかります、私、白雪、姫と申します,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0027.ogg,私の名前ですのよ。名字が白雪、名が姫でございます,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0028.ogg,先程は、本当にありがとうございました,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0029.ogg,私の弟を、熊の魔手から、お救いくださったでしょう？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0030.ogg,人間の身でありながら熊に立ち向かってゆかれるとは……金太郎こと坂田金時公のようで、逞しくてうっとりしてしまいますぅ……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0031.ogg,激闘の末、気を失っておられましたので……私と弟で、こちらへ丁重にお運びした次第です,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0032.ogg,許可なく上がり込んでしまい、ご迷惑でしたでしょうか？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0033.ogg,そんな……お礼を言うのはこちらのほうです。弟の命の恩人なんですもの,usual,"usual: 99.97%, aegi: 0.03%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0034.ogg,うふっ……貴方様のことは、何でも知っておりますわ,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0035.ogg,ね、蓮佛雪之進様……,usual,"usual: 99.95%, aegi: 0.05%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0036.ogg,！！,aegi,"aegi: 72.67%, usual: 27.33%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0037.ogg,嬉しい……,usual,"usual: 92.30%, aegi: 7.70%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0038.ogg,私も……ですから……,usual,"usual: 99.67%, aegi: 0.33%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0039.ogg,……,usual,"usual: 99.55%, aegi: 0.44%, chupa: 0.01%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0040.ogg,あの、先程の、お言葉……覚えて、いらっしゃいます……？,usual,"usual: 81.95%, aegi: 18.05%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0041.ogg,熊に襲われた時に、叫ばれていた……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0042.ogg,ニコッ,aegi,"aegi: 62.74%, usual: 37.26%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0043.ogg,そう、ですの……,usual,"usual: 97.48%, aegi: 2.51%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0044.ogg,困りましたわ……貴方様の願いを叶えて差し上げようと思いましたのに……どうすればよいのかしら……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0045.ogg,何か、私にしてほしいことは、ございませんか？,usual,"usual: 97.59%, aegi: 2.41%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0046.ogg,弟を、助けてくださったお礼を、させてはいただけませんか？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0047.ogg,でも……それでは私の気持ちが……,usual,"usual: 99.96%, aegi: 0.04%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0048.ogg,私にできることなら、何でも……しますから……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0049.ogg,何でもよろしいのですが……,usual,"usual: 99.86%, aegi: 0.14%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0050.ogg,……では、よろしければマッサージなどさせてくださいませんか？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0051.ogg,ええ、熊との戦いでお疲れになられたでしょう？私がその疲れを癒やして差し上げたいのです,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0052.ogg,あ、ありがとうございますぅ……,usual,"usual: 59.23%, aegi: 40.77%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0053.ogg,は、はい……？,usual,"usual: 98.97%, aegi: 0.74%, chupa: 0.29%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0054.ogg,で、では、マッサージ、していきますねぇ……,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0055.ogg,んっ……,usual,"usual: 99.06%, aegi: 0.85%, chupa: 0.10%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0056.ogg,あぁ、すごいぃ……,usual,"usual: 59.41%, aegi: 40.59%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0057.ogg,き、筋肉ぅ……ふぁ……たくましいぃ……,usual,"usual: 69.84%, aegi: 30.15%, chupa: 0.01%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0058.ogg,……じゃあ……もみもみ……していきますねぇ～……,usual,"usual: 99.80%, aegi: 0.19%, chupa: 0.01%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0059.ogg,凝って……おりますねぇ……はぁ……はぁっ……,usual,"usual: 99.74%, aegi: 0.26%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0060.ogg,いいんですよぉ～……もっとリラックスなさってぇ……私にぃ、体をあずけてぇ……下さいぃ……,usual,"usual: 99.44%, aegi: 0.56%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0061.ogg,あぁっ……いいぃ～っ……そう、その調子ぃ……,aegi,"aegi: 66.62%, usual: 33.38%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0062.ogg,んっ……ンッ……はぁっ……,usual,"usual: 94.05%, aegi: 5.95%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0063.ogg,あ……すごいぃ……こんなのぉ……はぁ、はぁ……,aegi,"aegi: 95.25%, usual: 4.75%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0064.ogg,アァ……はぁ……すごい、かたいのぉ……あなたさまのぉ……もみもみしてぇ、ほぐれてぇぇぇ……んんっ……はぁっ……,aegi,"aegi: 83.26%, usual: 16.74%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0065.ogg,はぁぁ、らめぇ……こうしているとぉ……わたしぃ……,aegi,"aegi: 89.50%, usual: 10.50%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0066.ogg,このままじゃぁ……はぁぁ……,usual,"usual: 62.56%, aegi: 37.44%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0067.ogg,ご、ごめんなさぁい……私、発情……期でぇ……,aegi,"aegi: 86.59%, usual: 13.39%, chupa: 0.02%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0068.ogg,く、くるしいんですぅ……私……貴方様と、こうしているとぉ……くるしく、て……,usual,"usual: 55.75%, aegi: 42.61%, chupa: 1.64%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0069.ogg,たすけて、くださるのですかぁ？,aegi,"aegi: 69.11%, usual: 30.89%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0070.ogg,ありがとう、ございますぅ……,usual,"usual: 54.45%, aegi: 45.55%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0071.ogg,あらぁ……？,aegi,"aegi: 64.57%, usual: 35.42%, chupa: 0.01%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0072.ogg,凄～く凝っている場所を、見つけてしまいましたぁ……,usual,"usual: 99.93%, aegi: 0.07%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0073.ogg,こ～んなに硬くなっちゃってぇ……解してさしあげないとぉ……,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0074.ogg,この下半身に残った凝りも、マッサージいたしますねぇ……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0075.ogg,……如何いたしましたぁ？,usual,"usual: 99.36%, aegi: 0.64%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0076.ogg,そんなっ……！,aegi,"aegi: 54.03%, usual: 45.97%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0077.ogg,……確かに私は、マッサージの腕も未熟ですぅ……ですが、殿方のことも色々学んでまいりました……雪之進様のために……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0078.ogg,はぁ、はぁ……もぉ、だめ、ですぅ……こんなに凝り固まったたくましいものを見せつけられてしまってはぁ……私ぃ……,usual,"usual: 51.06%, aegi: 48.94%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0079.ogg,……先程、私を助けて下さると仰いましたよね……？,usual,"usual: 96.09%, aegi: 3.91%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0080.ogg,せいきを……すわせてもらっていいでしょうか……？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0081.ogg,わ、私ったら……恥ずかしい……,usual,"usual: 66.46%, aegi: 33.54%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0082.ogg,だめ、ですよね……そんなこと……私ったら、図々しい……,usual,"usual: 72.01%, aegi: 27.99%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0083.ogg,ごめん、なさい……,aegi,"aegi: 65.87%, usual: 29.06%, chupa: 5.07%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0084.ogg,えっ！？本当、ですかぁ？,aegi,"aegi: 86.46%, usual: 13.47%, chupa: 0.07%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0085.ogg,ありがとう、ございますぅ……,usual,"usual: 53.63%, aegi: 46.37%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0086.ogg,ふぇっ……？,usual,"usual: 85.31%, aegi: 14.69%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0087.ogg,ど、どうかされましたか……？,usual,"usual: 99.17%, chupa: 0.43%, aegi: 0.39%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0088.ogg,え……私が、ですかぁ？,usual,"usual: 99.26%, aegi: 0.74%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0089.ogg,何をって……私に言わせたいのですか……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0090.ogg,でもぉ……私のせいきでよければ、いくらでもすって構わぬ、とおっしゃったのは貴方様ではありませんの……？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0091.ogg,武士に二言はない、とおっしゃいましたぁ,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0092.ogg,やっぱり、お嫌でしたの……？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0093.ogg,良かったぁ……,aegi,"aegi: 67.08%, usual: 32.92%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0094.ogg,緊張、なさらないでくださいね……りらっくす、して……,usual,"usual: 99.88%, aegi: 0.08%, chupa: 0.04%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0095.ogg,お身体の力を、抜いてください……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0096.ogg,私こそ、ごめんなさいね……少し、手が震えてしまって……上手くできればよいのですが……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0097.ogg,うふ……貴方様のお身体、この殿方の象徴と同じぐらいガチガチに硬くなっていますのね……ふふっ……,usual,"usual: 99.85%, aegi: 0.14%, chupa: 0.01%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0098.ogg,おちんちん、のことですわ,usual,"usual: 99.98%, aegi: 0.02%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0099.ogg,ふふっ……真っ赤になって……本当におかわいらしい御方……,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0100.ogg,ふぁぁ……やっぱりぃ、凝りがひどいですぅ……,usual,"usual: 93.42%, aegi: 6.58%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0101.ogg,マッサージをする、というお約束でしたものね……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0102.ogg,貴方様はただ横たわっておられればよいのです……私が全て、お世話いたしますからぁ……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0103.ogg,ふぁぁ……これが本物の殿方の象徴……人間の男性の、おちんちんなのですわね……？,usual,"usual: 99.96%, aegi: 0.04%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0104.ogg,あぁ、こんなに近くに、貴方様のおちんちんがぁ……こんな日が来るなんて、夢のようですわぁ……,usual,"usual: 99.83%, aegi: 0.17%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0105.ogg,初めての経験に、胸がときめいて……何だかいけないことをしているような……でも、それでも、貴方様のことが、もっともっと知りたくて……,usual,"usual: 99.98%, aegi: 0.02%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0106.ogg,こうして初めて間近で見てみると、貴方様とは別の生き物のように、ぴくぴく動いていらっしゃるのね？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0107.ogg,あぁん、とってもかわいらしい……巨大で、形だけ見るとグロテスクではありますけれど……何だか僕を見て～って、主張している駄々っ子みたいで……,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0108.ogg,放っておけない、ですぅ……,usual,"usual: 99.99%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0109.ogg,私に、よ～く見せてくださいませね……すみから、すみまで……,usual,"usual: 100.00%, chupa: 0.00%, aegi: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0110.ogg,私に、ご教授くださいませ……男の方の、秘密を……貴方様の、特別な場所を……わたしだけに……,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0111.ogg,こちらは、ふぁ……たぷたぷしてぇ、ふわふわですぅ,aegi,"aegi: 73.33%, usual: 26.67%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0112.ogg,あぁぁ……ここはこんな風になっているんですのねぇ……勉強になりますぅ……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0113.ogg,わあ、ここに小ちゃな穴が空いてますぅ……ここから、お小水が出るのかしら？,usual,"usual: 99.94%, aegi: 0.06%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0114.ogg,赤ちゃんを作る……大事な殿方のエキスも……出るのですよね？,usual,"usual: 99.60%, aegi: 0.40%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0115.ogg,きゃっ……！,aegi,"aegi: 80.40%, usual: 19.60%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0116.ogg,ご、ごめんなさい……いたずらする気では……,usual,"usual: 80.76%, aegi: 19.24%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0117.ogg,い、いけなかったでしょうかぁ？何かお汁がでてきちゃいました……,usual,"usual: 96.77%, aegi: 3.22%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0118.ogg,き、気持ち、良かった……？,usual,"usual: 98.66%, aegi: 1.34%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0119.ogg,そ、そういえば、習ったことがありました……殿方は、気持ちよくなると、潤滑液を漏らされると……これが、そうだったんですのね？,usual,"usual: 99.97%, aegi: 0.03%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0120.ogg,うわぁ……本当に？私の指が……貴方様を気持ちよくできたのですか？,usual,"usual: 99.97%, aegi: 0.03%, chupa: 0.00%"
D:/Galgame_Dataset/ωstar_Bishoujo Mangekyou Ibun - Yuki Onna/姫/him0121.ogg,ふぁぁ……嬉しい……私、お役に立てたのですね？,usual,"usual: 98.44%, aegi: 1.56%, chupa: 0.00%"
